-49.19043513564173,-42.23468835078204,-32.00043513564172,-30.471922950782037|9998
-9.810977780228242,-7.027699623611696,18.049304531451757,-5.115067953506288|10000
-4.0542471756844805,-69.3806406553464,108.8369384243155,-56.6348766553464|9936
-96.38007577996402,-63.11374638200335,-72.40471982476402,-45.16869198200335|9932
-135.58457716899514,-1.0037467456515003,-120.35357716899514,7.136753254348499|9944
-0.4698222233241811,-69.10387391967394,127.15731777667581,-57.82838952927395|9992
-10.096230032703,-37.31894446564566,7.561769967297002,-25.26494446564566|9970
-80.22352219990002,-30.447682908925245,-63.15052219990002,-25.683104508925243|9924
-32.71614616973396,-38.62096946263193,-31.44789340253396,11.51725293736807|9960
-27.079487406019066,-18.721854390246715,-12.259487406019066,-11.058489990246716|9996
-5.237462124624683,-55.36450119658376,34.84124394777532,-36.00820599658376|9984
-57.8638188171223,-31.59860116729765,-48.1566906171223,-27.298851167297652|9912
-147.0581609075886,-89.37702299382671,-99.43500904475431,-60.526910423489866|9940
-19.037517000988913,-47.370071516735486,9.936482999011087,-32.370071516735486|9920
-150.61967582778777,-75.38824696547587,-108.60309182778778,-56.81524696547587|9950
-93.30249727829998,-6.094967575522818,-71.07983887829998,-3.2840650755228182|9996
-48.97273188096649,-53.421793020453606,-24.888251880966493,-37.585779420453605|9962
-22.20226501862549,-60.981707288002085,21.280712981374514,-41.36933928800208|9994
-20.241662875892384,-57.70663876203798,20.39147712410762,-39.36789676203799|9978
-97.86235256931741,-11.285736659935141,-81.4360952779574,-2.427921460558503|10000
-160.7593852719175,-1.2437085367910883,-145.4683852719175,5.663791463208911|9990
-155.33365544208422,-40.30339529823487,-132.23365544208423,-24.77239529823487|9980
-132.6763418436849,-55.432101870969305,-97.97234184368489,-40.48910187096931|9992
-81.96779929562672,-45.2125819048866,-67.14479929562671,-36.9886663048866|10000
-118.89915930992626,-15.79440294262383,-110.57550675328575,12.978885286576173|9978
-38.80329785515411,-42.67162517538692,-28.100925113954112,-24.011661175386923|9958
-131.75919238684244,-3.2182004875799066,-115.97377078684244,6.589625002260092|9980
-33.53242655115755,-78.93609243341143,38.50597865204245,-54.35915885741143|9948
-72.06615678722464,-19.63621457151109,-60.88919358722464,-15.24946457151109|9968
-89.69450837804521,-53.27887967704761,-63.30157121396522,-44.90133627616953|9988
-175.56140602186673,-54.59160396761443,-152.72540602186672,-39.24660396761443|9952
-35.32273228739711,-0.8612093822012024,-25.13211988739711,3.533790617798797|9928
-105.55091358299701,-14.468304611005168,-85.60313118299702,-4.132497270685169|9978
-130.26167831059863,-74.3015905160176,-88.06948031059862,-57.3995905160176|9958
-108.92597687668153,-9.565164479043357,-90.68297687668154,1.827578520956644|9942
-8.241482683583074,-5.245864069476948,51.09635038521693,-4.455447447506747|9914
-104.18621865652372,-86.75157882846736,28.706682234676293,-67.67238449886736|9940
-78.38509783212784,-8.1508238117537,-68.44609783212783,-4.1045738117537|9966
-21.670943437933314,-1.1947972558387354,10.378593955755004,0.7797834070732641|9998
-119.26995338436456,-38.16428860675266,-97.82595338436455,-22.783288606752663|9938
-26.594057501507578,-6.816737718928594,-8.499920501507578,-2.5055532189285934|9984
-110.93522791578427,-63.97258916173791,-79.02122791578427,-48.97258916173791|9970
-171.04056216507726,-57.12020767106841,-143.08896336507726,-42.645207671068405|9944
-66.46455959526567,-63.59531542331054,-35.07100439526567,-48.11468542331053|9946
-125.72172083393865,-21.72852063735192,-114.74892803393865,-0.7795206373519221|9972
-12.405421878080622,-88.94870448591055,19.985897081919376,-39.827057807190556|9974
-70.85282903312425,-31.015715163106034,-58.154616146604255,-26.577843963106034|9978
-13.621813684921326,-28.94544435183717,2.2298431150786744,-19.24591035183717|10000
-124.5448818163579,-44.60282062054324,-99.72861781635791,-29.74382062054324|9996
-72.97911070686094,-12.247884901317118,-63.118381006860936,-7.994634901317117|9966
-62.63863986206202,-26.890435806417585,-51.61652736206202,-22.871185806417586|9986
